iter	Passed	Remaining
938	5762	374
939	5767	368
940	5773	362
941	5778	355
942	5784	349
943	5791	343
944	5796	337
945	5802	331
946	5807	325
947	5812	318
948	5817	312
949	5823	306
950	5828	300
951	5833	294
952	5839	287
953	5843	281
954	5849	275
955	5854	269
956	5859	263
957	5865	257
958	5870	250
959	5876	244
960	5881	238
961	5886	232
962	5892	226
963	5897	220
964	5902	214
965	5908	207
966	5912	201
967	5917	195
968	5922	189
969	5926	183
970	5932	177
971	5937	171
972	5942	164
973	5947	158
974	5952	152
975	5957	146
976	5962	140
977	5967	134
978	5972	128
979	5977	121
980	5983	115
981	5989	109
982	5994	103
983	5999	97
984	6005	91
985	6010	85
986	6016	79
987	6020	73
988	6026	67
989	6031	60
990	6036	54
991	6041	48
992	6047	42
993	6052	36
994	6057	30
995	6062	24
996	6067	18
997	6073	12
998	6078	6
999	6083	0
